cleaned_negative,polarity_negative,sentiment,Score,GuestCountry,RoomType,GroupType,visit_month,visit_year
noth,0.0,positive,10.0,Norway,Budget Twin Room,Solo traveler,6,2022
,0.0,positive,10.0,Poland,Double Room,Family,12,2022
,0.0,positive,8.0,Sweden,Double Room,Solo traveler,12,2022
,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2022
,0.0,positive,10.0,Switzerland,Family Suite with Balcony,Family,10,2022
,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,12,2022
,0.0,positive,8.0,United Kingdom,Two-Bedroom Suite,Family,10,2022
noth,0.0,positive,10.0,Cyprus,Double Room,Couple,11,2022
mayb possibl purchas fresh fruit veg,0.3,positive,10.0,Israel,Double Room,Family,11,2022
,0.0,positive,10.0,United Kingdom,Double Room,Solo traveler,12,2022
,0.0,positive,10.0,Thailand,Double Room with Balcony,Family,12,2022
couldn’t stay longer,0.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Family,10,2022
,0.0,positive,10.0,United States of America,Two-Bedroom Suite,Couple,12,2022
receptionist didnt speak english properli feel peopl live hotel rather stay hotel hear airplan come leav airport time sensit sound around night better skip hotel choos differ one,0.2590909090909091,positive,8.0,Bosnia and Herzegovina,Double Room,Couple,11,2022
noth realli though stay day bit edg larnaca frequent bu centr,0.1,positive,9.0,United Kingdom,Double Room with Balcony,Couple,12,2022
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Group,11,2022
,0.0,positive,10.0,Germany,Double Room with Balcony,Couple,11,2022
noth consid price,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,11,2022
,0.0,positive,8.0,Finland,Double Room with Balcony,Couple,10,2022
,0.0,positive,10.0,Israel,Budget Twin Room,Solo traveler,11,2022
,0.0,positive,10.0,Netherlands,Double Room with Balcony,Solo traveler,11,2022
fridg could put beforehand cold shower took get hot cold shower one morn need get earli left run around min got warm good shower order pizza one night great stodgi im sure food better restaur area nice staff accomod,0.275,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,11,2022
,0.0,positive,9.0,Italy,Two-Bedroom Suite,Family,11,2022
,0.0,positive,10.0,Greece,Double Room,Family,11,2022
,0.0,positive,10.0,Hungary,Budget Twin Room,Family,11,2022
leavingin fact book hotel week time,0.0,positive,10.0,Thailand,Double Room with Balcony,Family,11,2022
noth,0.0,positive,10.0,Cyprus,Double Room with Balcony,Couple,11,2022
surround build construct poorli lit,0.0,positive,9.0,Armenia,Double Room,Family,11,2022
would like iron board room,0.0,positive,9.0,United States of America,Double Room with Balcony,Couple,11,2022
applic,0.0,positive,10.0,United Kingdom,Double Room,Couple,11,2022
good,0.7,positive,10.0,United Kingdom,Double Room with Balcony,Couple,11,2022
noth,0.0,positive,10.0,Canada,Double Room with Balcony,Solo traveler,11,2022
littl bit noisi even time street side believ doesnt disturb case choos garden view apart close window start air condit,0.0,positive,10.0,Ukraine,Double Room with Balcony,Solo traveler,11,2022
hook wall towel etc,0.0,positive,8.0,United Kingdom,Suite with Balcony,Group,11,2022
problem heat water time understand eventu couldnt manag proper shower hot water,0.125,positive,8.0,Cyprus,Double Room,Family,11,2022
noth except show open time,0.0,positive,8.0,Cyprus,Budget Twin Room,Couple,10,2022
noth realli bu airport close run everi minut,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,11,2022
,0.0,positive,10.0,United Kingdom,Two-Bedroom Suite,Group,11,2022
,0.0,positive,8.0,Turkey,Two-Bedroom Suite,Solo traveler,10,2022
real observ net curtain blind one need ensur curtain close especi go shower room opposit apart clear view room,-0.05,positive,8.0,Portugal,Double Room with Balcony,Solo traveler,10,2022
typic restaur area kitchen shut food afterward would flag ahead time welcom email arriv uk earli afternoon flight land someth like nut chip avail buy arriv,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Couple,10,2022
clean,0.3666666666666667,positive,10.0,Lebanon,Double Room with Balcony,Solo traveler,10,2022
,0.0,positive,8.0,United Kingdom,Double Room,Solo traveler,10,2022
outsid noisi later even that within hotel control,0.0,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,10,2022
bit plane nois afternoon even right near takeoff end runway next departur morn problem,0.12857142857142856,positive,10.0,Ireland,Two-Bedroom Suite,Family,10,2022
,0.0,positive,10.0,Israel,Double Room with Balcony,Couple,10,2022
,0.0,positive,9.0,United Kingdom,Double Room,Group,10,2022
,0.0,positive,9.0,Switzerland,Two-Bedroom Suite,Family,10,2022
,0.0,positive,9.0,Israel,Two-Bedroom Suite,Family,10,2022
soundproof,0.0,positive,10.0,Cyprus,Double Room,Family,10,2022
,0.0,positive,10.0,United States of America,Two-Bedroom Suite,Group,10,2022
noth,0.0,positive,10.0,Austria,Double Room with Balcony,Family,10,2022
,0.0,positive,10.0,Poland,Double Room,Solo traveler,10,2022
,0.0,positive,10.0,Cyprus,Double Room with Balcony,Family,10,2022
lot mosquito,0.0,positive,9.0,Cyprus,Double Room with Balcony,Couple,9,2022
given lot guest book prime locat near airport would’v great breakfast start rather that’ suggest everyth perfect one night stay,0.6333333333333333,positive,10.0,Belgium,Double Room with Balcony,Solo traveler,10,2022
,0.0,positive,10.0,United States of America,Double Room with Balcony,Couple,10,2022
room wasnt soundproof hear plane,0.0,positive,8.0,Israel,Double Room with Balcony,Family,10,2022
na,0.0,positive,8.0,United Kingdom,Two-Bedroom Suite,Family,10,2022
,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Family,9,2022
issu overnight stay,0.0,positive,8.0,United Kingdom,Double Room,Couple,10,2022
like la veranda son fold bed could better especi consid comfort regular bed,0.25,positive,9.0,Israel,Standard Triple Room,Family,10,2022
cannot find singl neg point…which unusu spent year travel part work perhap critic,-0.1,positive,10.0,United Arab Emirates,Budget Twin Room,Solo traveler,10,2022
look quiet stay awar hotel realli close airport hear nois plane,0.0,positive,10.0,Israel,Double Room,Couple,10,2022
na,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,10,2022
,0.0,positive,9.0,Cyprus,Double Room,Couple,10,2022
noth far,0.1,positive,8.0,Qatar,Budget Twin Room,Solo traveler,10,2022
,0.0,positive,10.0,United Kingdom,Double Room,Solo traveler,10,2022
,0.0,positive,10.0,Lebanon,Double Room with Balcony,Couple,9,2022
noth,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Family,10,2022
shop pharmaci area accommod cannot anyth overal extrem satisfi,0.0,positive,10.0,Hungary,Double Room,Couple,9,2022
,0.0,positive,9.0,Lebanon,Double Room,Solo traveler,10,2022
,0.0,positive,10.0,Denmark,Double Room with Balcony,Solo traveler,9,2022
